,question,equations,operation,answers
1199,Kathleen went to the store 5 times last month. She buys 5 bottle caps each time she goes to the store. How many bottle caps did Kathleen buy last month?,x=(5.0*5.0),Multiplication,25.0
1200,There are 4 crayons in each box. How many crayons are in 3 boxes?,x=(4.0*3.0),Multiplication,12.0
1201,Kimberly went to the store 3 times last month. She buys 7 peanuts each time she goes to the store. How many peanuts did Kimberly buy last month?,x=(3.0*7.0),Multiplication,21.0
1202,The school is planning a field trip. There are 14 students and 2 seats on each school bus. How many buses are needed to take the trip?,x=(14.0/2.0),Division,7.0
1203,"Betty has 24 oranges stored in boxes. If there are 3 boxes, how many oranges must go in each box?",x=(24.0/3.0),Division,8.0
1204,The school is planning a field trip. There are 9 students and 3 seats on each school bus. How many buses are needed to take the trip?,x=(9.0/3.0),Division,3.0
1205,"There are 2 students in the class and 18 pencils. If the pencils are divided equally among the students, how many does each student get?",x=(18.0/2.0),Division,9.0
1206,"There are 9 students in the class and 81 tickets. If the tickets are divided equally among the students, how many does each student get?",x=(81.0/9.0),Division,9.0
1207,"There are 35 bottle caps in Beverly's bottle cap collection. If the bottle caps are organized into 7 groups, how big is each group?",x=(35.0/7.0),Division,5.0
1208,Jeffrey wants to split a collection of bottle caps into groups of 2. Jeffrey has 12 bottle caps. How many groups will be created?,x=(12.0/2.0),Division,6.0
1209,"There are 9 students in the class and 81 tickets. If the tickets are divided equally among the students, how many does each student get?",x=(81.0/9.0),Division,9.0
1210,"Peter has 3 candies stored in boxes. If there are 3 boxes, how many candies must go in each box?",x=(3.0/3.0),Division,1.0
1211,"There are 7 students in the class and 42 apples. If the apples are divided equally among the students, how many does each student get?",x=(42.0/7.0),Division,6.0
1212,Martha is inviting 4 friends to a party. She has 12 cookies. How many cookies will each friend get?,x=(12.0/4.0),Division,3.0
1213,"Jesse has 21 bananas. If he shares them among 3 friends, how many bananas does each friend get?",x=(21.0/3.0),Division,7.0
1214,"There are 7 students in the class and 56 eggs. If the eggs are divided equally among the students, how many does each student get?",x=(56.0/7.0),Division,8.0
1215,Elizabeth is inviting 5 friends to a party. She has 5 cookies. How many cookies will each friend get?,x=(5.0/5.0),Division,1.0
1216,"There are 72 cards in Jean's card collection. If the cards are organized into 9 groups, how big is each group?",x=(72.0/9.0),Division,8.0
1217,Eric wants to split a collection of peanuts into groups of 8. Eric has 64 peanuts. How many groups will be created?,x=(64.0/8.0),Division,8.0
1218,Henry wants to split a collection of crayons into groups of 6. Henry has 42 crayons. How many groups will be created?,x=(42.0/6.0),Division,7.0
1219,Jack is inviting 4 friends to a party. He has 4 cookies. How many cookies will each friend get?,x=(4.0/4.0),Division,1.0
1220,Harry is inviting 3 friends to a party. He has 12 cookies. How many cookies will each friend get?,x=(12.0/3.0),Division,4.0
1221,"There are 30 candies in Kathy's candy collection. If the candies are organized into 10 groups, how big is each group?",x=(30.0/10.0),Division,3.0
1222,Deborah is inviting 10 friends to a party. She has 80 cookies. How many cookies will each friend get?,x=(80.0/10.0),Division,8.0
1223,The school is planning a field trip. There are 28 students and 7 seats on each school bus. How many buses are needed to take the trip?,x=(28.0/7.0),Division,4.0
1224,"There are 36 bananas in Diane's banana collection. If the bananas are organized into 6 groups, how big is each group?",x=(36.0/6.0),Division,6.0
1225,"There are 36 bananas in Diane's banana collection. If the bananas are organized into 6 groups, how big is each group?",x=(36.0/6.0),Division,6.0
1226,"Louise has 42 oranges stored in boxes. If there are 7 boxes, how many oranges must go in each box?",x=(42.0/7.0),Division,6.0
1227,The school is planning a field trip. There are 45 students and 9 seats on each school bus. How many buses are needed to take the trip?,x=(45.0/9.0),Division,5.0
1228,"Michael has 16 blocks stored in boxes. If there are 8 boxes, how many blocks must go in each box?",x=(16.0/8.0),Division,2.0
1229,"Albert has 35 oranges stored in boxes. If there are 7 boxes, how many oranges must go in each box?",x=(35.0/7.0),Division,5.0
1230,"Lori has 30 marbles. If she shares them among 5 friends, how many marbles does each friend get?",x=(30.0/5.0),Division,6.0
1231,Brenda wants to split a collection of erasers into groups of 90. Brenda has 270 erasers. How many groups will be created?,x=(270.0/90.0),Division,3.0
1232,The school is planning a field trip. There are 180 students and 60 seats on each school bus. How many buses are needed to take the trip?,x=(180.0/60.0),Division,3.0
1233,"Bonnie has 10 tickets. If she shares them among 2 friends, how many tickets does each friend get?",x=(10.0/2.0),Division,5.0
1234,Steven wants to split a collection of cards into groups of 6. Steven has 30 cards. How many groups will be created?,x=(30.0/6.0),Division,5.0
1235,"Eric has 9306 erasers. If he shares them among 99 friends, how many erasers does each friend get?",x=(9306.0/99.0),Division,94.0
1236,"Diana has 3840 erasers. If she shares them among 48 friends, how many erasers does each friend get?",x=(3840.0/48.0),Division,80.0
1237,"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",x=(12.0/12.0),Division,1.0
1238,"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",x=(12.0/12.0),Division,1.0
1239,"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",x=(12.0/12.0),Division,1.0
1240,"Ashley sold 12 boxes of Samoas. How many cases of 12 boxes, plus extra boxes does Ashley need?",x=(12.0/12.0),Division,1.0
1241,"Sarah sold 24 boxes of Lemon Chalet Cremes. How many cases of 12 boxes, plus extra boxes does Sarah need?",x=(24.0/12.0),Division,2.0
1242,"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",x=(36.0/12.0),Division,3.0
1243,"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",x=(36.0/12.0),Division,3.0
1244,"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",x=(36.0/12.0),Division,3.0
1245,"If Madison sold 24 boxes of Tagalongs, how many cases of 12 boxes does Madison pickup from the cookie mom?",x=(24.0/12.0),Division,2.0
1246,"If Karen sold 36 boxes of Tagalongs, how many cases of 12 boxes does Karen pickup from the cookie mom?",x=(36.0/12.0),Division,3.0
1247,"If Harold split 15 apples between 3 people in her class and kept the left overs, how many apples did each classmate get?",x=(15.0/3.0),Division,5.0
1248,"If Victor split 25 Skittles between 5 people in her class and kept the left overs, how many Skittles did each classmate get?",x=(25.0/5.0),Division,5.0
1249,"Jenny sold 24 boxes of Trefoils. How many cases of 8 boxes, plus extra boxes does Jenny need to deliver?",x=(24.0/8.0),Division,3.0
1250,Gumballs come in packages of 5. Nathan ate 20 gumballs. How many whole boxes did he eat and how many gumballs does he have left?,x=(20.0/5.0),Division,4.0
1251,"Shirley sold 20 boxes of Do-Si-Dos. How many cases of 4 boxes, plus extra boxes does Shirley need to deliver?",x=(20.0/4.0),Division,5.0
1252,Lemon heads come in packages of 6. Louis ate 54 Lemon Heads. How many whole boxes did he eat and how many Lemon Heads does he have left?,x=(54.0/6.0),Division,9.0
1253,Lemon heads come in packages of 6. Louis ate 54 Lemon Heads. How many whole boxes did he eat and how many Lemon Heads does he have left?,x=(54.0/6.0),Division,9.0
1254,Lemon heads come in packages of 6. Louis ate 54 Lemon Heads. How many whole boxes did he eat and how many Lemon Heads does he have left?,x=(54.0/6.0),Division,9.0
1255,Marilyn starts with 51 bottle caps. She shares 36 with Nancy. How many bottle caps does Marilyn end with?,x=(51.0-36.0),Subtraction,15.0
1256,William has 2 bottle caps. He buys 41 more. How many bottle caps does William have in all?,x=(2.0+41.0),Addition,43.0
1257,Carol starts with 42 blocks. She loses 25. How many blocks does Carol end with?,x=(42.0-25.0),Subtraction,17.0
1258,Lillian collects 88 candies. Lillian's father gives Lillian 5 more. How many candies does Lillian have?,x=(88.0+5.0),Addition,93.0
1259,William has 2 bottle caps. He buys 41 more. How many bottle caps does William have in all?,x=(2.0+41.0),Addition,43.0
1260,If Anne wandered for 3 hours at 2 miles per hour. How far did Anne go?,x=(3.0*2.0),Multiplication,6.0
1261,It took Amanda 3 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?,x=(3.0*2.0),Multiplication,6.0
1262,If Stephanie ran for 3 hours at 5 miles per hour. How far did Stephanie go?,x=(3.0*5.0),Multiplication,15.0
1263,"If Charles strolled 6 miles at 3 miles per hour, how long was Charles travelling?",x=(6.0/3.0),Division,2.0
1264,It took Carl 5 hours to ride to Ralph's house at 2 miles per hour. How far is it between Carl's house and Ralph's house?,x=(5.0*2.0),Multiplication,10.0
1265,Emily sprinted to Timothy's house. It is 10 miles from Emily's house to Timothy's house. It took Emily 2 hours to get there. How fast did Emily go?,x=(10.0/2.0),Division,5.0
1266,If Norma wandered for 5 hours at 3 miles per hour. How far did Norma go?,x=(5.0*3.0),Multiplication,15.0
1267,"If Charles strolled 6 miles at 3 miles per hour, how long was Charles travelling?",x=(6.0/3.0),Division,2.0
1268,If Anne wandered for 3 hours at 2 miles per hour. How far did Anne go?,x=(3.0*2.0),Multiplication,6.0
1269,If Rose strolled for 4 hours at 2 miles per hour. How far did Rose go?,x=(4.0*2.0),Multiplication,8.0
1270,It took Amanda 2 hours to stroll to Kimberly's house at 4 miles per hour. How far is it between Amanda's house and Kimberly's house?,x=(2.0*4.0),Multiplication,8.0
1271,Martin strolled to Lawrence's house. It is 12 miles from Martin's house to Lawrence's house. It took Martin 6 hours to get there. How fast did Martin go?,x=(12.0/6.0),Division,2.0
1272,It took Amanda 5 hours to stroll to Kimberly's house at 2 miles per hour. How far is it between Amanda's house and Kimberly's house?,x=(5.0*2.0),Multiplication,10.0
1273,Martin strolled to Lawrence's house. It is 12 miles from Martin's house to Lawrence's house. It took Martin 6 hours to get there. How fast did Martin go?,x=(12.0/6.0),Division,2.0
1274,Emily sprinted to Timothy's house. It is 10 miles from Emily's house to Timothy's house. It took Emily 2 hours to get there. How fast did Emily go?,x=(10.0/2.0),Division,5.0
1275,Jose strolled to Jane's house. It is 24 miles from Jose's house to Jane's house. It took Jose 12 hours to get there. How fast did Jose go?,x=(24.0/12.0),Division,2.0
1276,It took Katherine 3 hours to run to Louis's house at 8 miles per hour. How far is it between Katherine's house and Louis's house?,x=(3.0*8.0),Multiplication,24.0
1277,Patrick jogged to Aaron's house. It is 14 miles from Patrick's house to Aaron's house. It took Patrick 2 hours to get there. How fast did Patrick go?,x=(14.0/2.0),Division,7.0
1278,Rachel strolled to Nicholas's house. It is 10 miles from Rachel's house to Nicholas's house. It took Rachel 5 hours to get there. How fast did Rachel go?,x=(10.0/5.0),Division,2.0
1279,"If Joan bicycled 25 miles at 5 miles per hour, how long was Joan travelling?",x=(25.0/5.0),Division,5.0
1280,Mark sprinted 24 miles at 6 miles per hour. How long did Mark sprint?,x=(24.0/6.0),Division,4.0
1281,"If Benjamin strolled 14 miles at 2 miles per hour, how long was Benjamin travelling?",x=(14.0/2.0),Division,7.0
1282,Mark sprinted 24 miles at 6 miles per hour. How long did Mark sprint?,x=(24.0/6.0),Division,4.0
1283,"If Joan bicycled 25 miles at 5 miles per hour, how long was Joan travelling?",x=(25.0/5.0),Division,5.0
1284,Christine wandered 20 miles at 4 miles per hour. How long did Christine wander?,x=(20.0/4.0),Division,5.0
1285,Christine wandered 20 miles at 4 miles per hour. How long did Christine wander?,x=(20.0/4.0),Division,5.0
1286,James rode 80 miles at 16 miles per hour. How long did James ride?,x=(80.0/16.0),Division,5.0
1287,Juan ran 80 miles at 10 miles per hour. How long did Juan run?,x=(80.0/10.0),Division,8.0
1288,James rode 80 miles at 16 miles per hour. How long did James ride?,x=(80.0/16.0),Division,5.0
1289,Lisa flew 256 miles at 32 miles per hour. How long did Lisa fly?,x=(256.0/32.0),Division,8.0
1290,Lisa flew 256 miles at 32 miles per hour. How long did Lisa fly?,x=(256.0/32.0),Division,8.0
1291,Christopher strolled 5 miles at 4 miles per hour. How long did Christopher stroll?,x=(5.0/4.0),Division,1.25
1292,Jose wandered 4 kilometers at 2 kilometers per hour. How long did Jose wander?,x=(4.0-2.0),Subtraction,2.0
1293,"If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",x=(25.0/5.0),Division,5.0
1294,"If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",x=(25.0/5.0),Division,5.0
1295,"If Teresa jogged 25 kilometers at 5 kilometers per hour, how long was Teresa jogging?",x=(25.0/5.0),Division,5.0
1296,"If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?",x=(80.0/10.0),Division,8.0
1297,"If Heather bicycled 40 kilometers at 8 kilometers per hour, how long was Heather bicycling?",x=(40.0/8.0),Division,5.0
1298,"If Benjamin skated 80 kilometers at 10 kilometers per hour, how long was Benjamin skating?",x=(80.0/10.0),Division,8.0
1299,Jeremy strolled 20 kilometers at 2 kilometers per hour. How long did Jeremy stroll?,x=(20.0/2.0),Division,10.0
1300,Jeremy strolled 20 kilometers at 2 kilometers per hour. How long did Jeremy stroll?,x=(20.0/2.0),Division,10.0
1301,"If Lawrence walked 4 kilometers at 3 kilometers per hour, how long was Lawrence walking?",x=(4.0-3.0),Subtraction,1.0
1302,You have 7 balloons and your friend has 5 balloons. How many more balloons do you have than your friend?,x=(7.0-5.0),Subtraction,2.0
1303,2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,x=(2.0+4.0),Addition,6.0
1304,You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,x=(11.0-7.0),Subtraction,4.0
1305,A bee has 6 legs. How many legs do 2 bees have?,x=(6.0*2.0),Multiplication,12.0
1306,There are 6 birds and 3 nests. How many more birds are there than nests?,x=(6.0-3.0),Subtraction,3.0
1307,There are 5 flowers and 3 bees. How many fewer bees are there than flowers?,x=(5.0-3.0),Subtraction,2.0
1308,3 owls were sitting on the fence. 2 more owls joined them. How many owls are on the fence now?,x=(3.0+2.0),Addition,5.0
1309,2 beavers were working on their home. 1 went for a swim. How many beavers are still working on their home?,x=(2.0-1.0),Subtraction,1.0
1310,2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?,x=(2.0+1.0),Addition,3.0
1311,There are 4 squirrels in a tree with 2 nuts. How many more squirrels are there than nuts?,x=(4.0-2.0),Subtraction,2.0
1312,Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?,x=(24.0+14.0),Addition,38.0
1313,"At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow. How much more snow did Mrs. Hilt's house have?",x=(29.0-17.0),Subtraction,12.0
1314,Mrs. Hilt reads 5 books a day. How many books does she read in 3 days?,x=(5.0*3.0),Multiplication,15.0
1315,Mrs. Hilt saw 3 bugs eat 2 flowers each. How many flowers total did the bugs eat?,x=(3.0*2.0),Multiplication,6.0
1316,Mrs. Hilt had 15 cents. She bought a pencil for 11 cents. How much money did she have left?,x=(15.0-11.0),Subtraction,4.0
1317,Mrs. Hilt bought 2 pizzas. Each pizza had 8 slices. How many total slices of pizza did she have?,x=(2.0*8.0),Multiplication,16.0
1318,Mrs. Hilt ate 5 apples every hour. How many apples had she eaten at the end of 3 hours?,x=(5.0*3.0),Multiplication,15.0
1319,Mary’s mom is getting ready for Mary’s birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons did she blow up in all?,x=(6.0+5.0),Addition,11.0
1320,"Shelby’s teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more. How many gold stars did Shelby earn in all?",x=(4.0+3.0),Addition,7.0
1321,The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday. How many pieces of litter did they pick up altogether?,x=(10.0+8.0),Addition,18.0
1322,"Carson’s teacher gives out gold stars for great math work. Yesterday, Carson earned 6 gold stars. Today, he earned 9 more. How many gold stars did Carson earn in all?",x=(6.0+9.0),Addition,15.0
1323,"There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?",x=(10.0-3.0),Subtraction,7.0
1324,Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?,x=(12.0+16.0),Addition,28.0
1325,Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?,x=(15.0+7.0),Addition,22.0
1326,"I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?",x=(21.0+17.0),Addition,38.0
1327,"In a school, there are 542 girls and 387 boys. How many pupils are there in that school?",x=(542.0+387.0),Addition,929.0
1328,Linda has 34 candies. Chloe has 28. How many candies do they have in all?,x=(34.0+28.0),Addition,62.0
1329,Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?,x=(63.0+50.0),Addition,113.0
1330,Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?,x=(292.0+324.0),Addition,616.0
1331,"There were 105 parents in the program and 698 pupils, too. How many people were present in the program?",x=(105.0+698.0),Addition,803.0
1332,"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?",x=(425.0+275.0),Addition,700.0
1333,There are 12 birds on the fence. 8 more birds land on the fence. How many birds are on the fence?,x=(12.0+8.0),Addition,20.0
1334,22 boys went down the slide. 13 more boys went down the slide. How many boys went down the slide?,x=(22.0+13.0),Addition,35.0
1335,13 ducks are swimming in a lake. 20 more ducks come to join them. How many ducks are swimming in the lake?,x=(13.0+20.0),Addition,33.0
1336,30 dogs are barking. 10 more dogs start to bark. How many dogs are barking?,x=(30.0+10.0),Addition,40.0
1337,"Bobby ate 26 pieces of candy. Then, he ate 17 more. How many pieces of candy did Bobby eat?",x=(26.0+17.0),Addition,43.0
1338,Sandy had 26 pet fish. She bought 6 more fish. How many pet fish does Sandy have now?,x=(26.0+6.0),Addition,32.0
1339,The clown blew up 47 balloons. Then he blew up 13 more balloons. How many balloons does the clown have now?,x=(47.0+13.0),Addition,60.0
1340,Our class got 54 books from the library. Then we got 23 more books from the library. How many books did our class get from the library?,x=(54.0+23.0),Addition,77.0
1341,Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now?,x=(14.0+6.0),Addition,20.0
1342,James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,x=(22.0+15.0),Addition,37.0
1343,"Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?",x=(5.0+12.0),Addition,17.0
1344,"Isha’s pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?",x=(12.0+12.0),Addition,24.0
1345,"Isabella’s hair is 18 cubes long. If her hair grows 4 more inches, how long will it be?",x=(18.0+4.0),Addition,22.0
1346,Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?,x=(17.0+14.0),Addition,31.0
1347,Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,x=(22.0+47.0),Addition,69.0
1348,"Mrs. Heine is buying Valentine’s Day treats for her 2 dogs. If she wants to buy them 3 heart biscuits each, how many biscuits does she need to buy?",x=(2.0*3.0),Multiplication,6.0
1349,Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,x=(87.0-8.0),Subtraction,79.0
1350,Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49. How many fish did he have to begin with?,x=(49.0-18.0),Subtraction,31.0
1351,Alyssa had 129 cookies. Aiyanna has 140. How many more cookies does Aiyanna have than Alyssa?,x=(140.0-129.0),Subtraction,11.0
1352,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,x=(12.0+54.0),Addition,66.0
1353,Hayley had 25 meatballs on her plate. Kirsten stole some of her meatballs. Now she has 11 meatballs on her plate. How many meatballs did Kirsten steal?,x=(25.0-11.0),Subtraction,14.0
1354,"Isabella’s hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long, how much of Isabella’s hair got cut off?",x=(18.0-9.0),Subtraction,9.0
1355,Isabella’s hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?,x=(24.0-18.0),Subtraction,6.0
1356,Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells. How many pounds did she add?,x=(28.0-5.0),Subtraction,23.0
1357,"Isha’s pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long. How much did she sharpen off of her pencil?",x=(31.0-14.0),Subtraction,17.0
1358,Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?,x=(43.0-11.0),Subtraction,32.0
1359,Mrs. Sheridan has 11 cats. Mrs. Garrett has 24 cats. How many more cats does Mrs. Garrett have than Mrs. Sheridan?,x=(24.0-11.0),Subtraction,13.0
1360,Mrs. Wong had 30 Valentines. She gave 8 Valentines to her children. How many does she have left?,x=(30.0-8.0),Subtraction,22.0
1361,Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs. Franklin give to her students?,x=(58.0-16.0),Subtraction,42.0
1362,Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?,x=(86.0-36.0),Subtraction,50.0
1363,Mrs. Santiago has 58 red roses. Mrs. Garrett has 24. How many more red roses does Mrs. Santiago have than Mrs. Garrett?,x=(58.0-24.0),Subtraction,34.0
1364,14 birds were sitting in a tree. 21 more birds flew up to the tree. How many birds were there altogether in the tree?,x=(14.0+21.0),Addition,35.0
1365,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree. How many more flew up to the tree?,x=(42.0-29.0),Subtraction,13.0
1366,Cindy’s mom baked 41 cookies. Paul’s dad baked 38 cookies. They both brought them to school for a party. How many cookies did they have altogether?,x=(41.0+38.0),Addition,79.0
1367,"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How many children got on the bus at the bus stop?",x=(25.0-18.0),Subtraction,7.0
1368,Misha has 34 dollars. How many more dollars does she have to earn to have 47 dollars?,x=(47.0-34.0),Subtraction,13.0
1369,There were 28 girls and 35 boys on the playground at recess. How many children were there in all?,x=(28.0+35.0),Addition,63.0
1370,There were 44 boys and 53 girls on the playground at recess. How many children were on the playground in all?,x=(44.0+53.0),Addition,97.0
1371,There were 58 geese and 37 ducks in the marsh. How many birds were there in all?,x=(58.0+37.0),Addition,95.0
1372,Paul had 42 strawberries in his basket. He picked 78 more strawberries. How many strawberries did he have then?,x=(42.0+78.0),Addition,120.0
1373,Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's brother give her?,x=(44.0-18.0),Subtraction,26.0
1374,Bobby has 142 books. Kristi has 78 books. How many more books does Bobby have than Kristi?,x=(142.0-78.0),Subtraction,64.0
1375,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons. How many balloons did Tommy have to start with?",x=(60.0-34.0),Subtraction,26.0
1376,There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,x=(14.0+22.0),Addition,36.0
1377,"Jane has 28 old, brown sheets of drawing paper and 27 old, yellow sheets of drawing paper. How many pieces of drawing paper does she have?",x=(28.0+27.0),Addition,55.0
1378,Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left. How many of her leaves blew away?,x=(356.0-112.0),Subtraction,244.0
1379,Marcus has 210 baseball cards. He has 58 more than Carter. How many baseball cards does Carter have?,x=(210.0-58.0),Subtraction,152.0
1380,Gavin has 23 shirts. 6 are blue the rest are green. How many green shirts does Gavin have?,x=(23.0-6.0),Subtraction,17.0
1381,Ethan has 31 presents. Alissa has 22 more than Ethan. How many presents does Alissa have?,x=(31.0+22.0),Addition,53.0
1382,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the week?,x=(39.0+22.0),Addition,61.0
1383,Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?,x=(105.0-56.0),Subtraction,49.0
1384,Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum. How many pieces did Todd have to start with?,x=(54.0-16.0),Subtraction,38.0
1385,Josh had 142 pencils. He gave 31 pencils to Dorothy. How many pencils does Josh have left?,x=(142.0-31.0),Subtraction,111.0
1386,Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left. How many cards did Nell give to Jeff?,x=(304.0-276.0),Subtraction,28.0
1387,"Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?",x=(13.0+38.0),Addition,51.0
1388,There are 40 boys and some girls on the playground. There are 117 children altogether. How many girls are on the playground?,x=(117.0-40.0),Subtraction,77.0
1389,Megan had 49 markers. Robert gave her 39 more markers. How many markers does Megan have altogether?,x=(49.0+39.0),Addition,88.0
1390,Each CD rack holds 8 CDs. A shelf can hold 4 racks. How many total CDs can fit on the shelf?,x=(8.0*4.0),Multiplication,32.0
1391,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles. How many did she start with?,x=(187.0-134.0),Subtraction,53.0
1392,Kelly has 50 Nintendo games. How many does she need to give away so that she will have 35 games left?,x=(50.0-35.0),Subtraction,15.0
1393,Connie had some marbles. She gave 73 to Juan. Now she has 70 marbles left. How many did she have to start with?,x=(73.0+70.0),Addition,143.0
1394,Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?,x=(41.0+64.0),Addition,105.0
1395,Iesha has 58 books. 19 are about school and the rest are about sports. How many books about sports does Iesha have?,x=(58.0-19.0),Subtraction,39.0
1396,James has 232 balloons. Amy has 101 balloons. How many more balloons does James have than Amy?,x=(232.0-101.0),Subtraction,131.0
1397,Sean has 45 whistles. He has 32 more whistles that Charles. How many whistles does Charles have?,x=(45.0-32.0),Subtraction,13.0
1398,Connie has 39 marbles. Juan has 25 more marbles than Connie. How many marbles does Juan have?,x=(39.0+25.0),Addition,64.0
1399,"Joe had 50 toy cars. If he gets 12 more cars, how many cars will he have then?",x=(50.0+12.0),Addition,62.0
1400,There are 64 pigs in the barn. Some more come to join them. Now there are 86 pigs. How many pigs came to join them?,x=(86.0-64.0),Subtraction,22.0
1401,"Rosa had 67 flowers. Andre gave her some more flowers. Now, Rosa has 90 flowers. How many flowers did Andre give to Rosa?",x=(90.0-67.0),Subtraction,23.0
1402,Adolfo made a tower with 35 blocks. He added some more blocks and now he has 65 blocks. How many did he have to add?,x=(65.0-35.0),Subtraction,30.0
1403,Josh had 16 marbles in his collection. He lost 7 marbles. How many marbles does he have now?,x=(16.0-7.0),Subtraction,9.0
1404,Megan has 19 seashells. How many more seashells does she need to find to have 25 seashells in her collection?,x=(25.0-19.0),Subtraction,6.0
1405,Brad has 17 balloons. 8 balloons are red and the rest are green. How many green balloons does Brad have?,x=(17.0-8.0),Subtraction,9.0
1406,There are 38 books on the shelf. Marta put 10 more books on the shelf. How many books are on the shelf now?,x=(38.0+10.0),Addition,48.0
1407,A bee has 6 legs. How many legs do 8 bees have?,x=(6.0*8.0),Multiplication,48.0
1408,Mrs. Hilt bought an ice cream cone for 99 cents. How much would 2 ice cream cones cost?,x=(99.0*2.0),Multiplication,198.0
1409,Mrs. Hilt wants to make a border around her garden. She needs 125 rocks to complete the border. She has 64 rocks. How many more rocks does she need to complete the border?,x=(125.0-64.0),Subtraction,61.0
1410,Mrs. Hilt bought 6 hot dogs. Each hot dog cost 50 cents. How much money did she pay for all of the hot dogs?,x=(6.0*50.0),Multiplication,300.0
1411,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,x=(50.0/5.0),Division,10.0
1412,Mrs. Hilt bought 3 pizzas for $8 each. What was the total amount she paid for the three pizzas?,x=(3.0*8.0),Multiplication,24.0
